xmsim(64): 22.03-s012: (c) Copyright 1995-2023 Cadence Design Systems, Inc.
xmsim: *W,NOMTDGUI: Multi-Threaded Dumping is disabled for interactive debug mode.

-------------------------------------
Relinquished control to SimVision...
xcelium> 
xcelium> database -open waves -into waves.shm -default
Created default SHM database waves
xcelium> probe -create -shm tb_fidivider.i_clk_in tb_fidivider.i_rstn tb_fidivider.o_clk_out
Created probe 1
xcelium> run
Time=1545, clk_in=1, clk_out=0
Time=1555, clk_in=1, clk_out=0
Time=1565, clk_in=1, clk_out=0
Time=1575, clk_in=1, clk_out=1
Time=1585, clk_in=1, clk_out=1
Time=1595, clk_in=1, clk_out=1
Time=1605, clk_in=1, clk_out=1
Time=1615, clk_in=1, clk_out=1
Time=1625, clk_in=1, clk_out=0
Time=1635, clk_in=1, clk_out=0
Time=1645, clk_in=1, clk_out=0
Time=1655, clk_in=1, clk_out=0
Time=1665, clk_in=1, clk_out=0
Time=1675, clk_in=1, clk_out=1
Time=1685, clk_in=1, clk_out=1
Time=1695, clk_in=1, clk_out=1
Time=1705, clk_in=1, clk_out=1
Time=1715, clk_in=1, clk_out=1
Time=1725, clk_in=1, clk_out=0
Time=1735, clk_in=1, clk_out=0
Time=1745, clk_in=1, clk_out=0
Time=1755, clk_in=1, clk_out=0
Time=1765, clk_in=1, clk_out=0
Time=1775, clk_in=1, clk_out=1
Time=1785, clk_in=1, clk_out=1
Time=1795, clk_in=1, clk_out=1
Time=1805, clk_in=1, clk_out=1
Time=1815, clk_in=1, clk_out=1
Time=1825, clk_in=1, clk_out=0
Time=1835, clk_in=1, clk_out=0
Time=1845, clk_in=1, clk_out=0
Time=1855, clk_in=1, clk_out=0
Time=1865, clk_in=1, clk_out=0
Time=1875, clk_in=1, clk_out=1
Time=1885, clk_in=1, clk_out=1
Time=1895, clk_in=1, clk_out=1
Time=1905, clk_in=1, clk_out=1
Time=1915, clk_in=1, clk_out=1
Time=1925, clk_in=1, clk_out=0
Time=1935, clk_in=1, clk_out=0
Time=1945, clk_in=1, clk_out=0
Time=1955, clk_in=1, clk_out=0
Time=1965, clk_in=1, clk_out=0
Time=1975, clk_in=1, clk_out=1
Time=1985, clk_in=1, clk_out=1
Time=1995, clk_in=1, clk_out=1
Time=2005, clk_in=1, clk_out=1
Time=2015, clk_in=1, clk_out=1
Simulation complete via $finish(1) at time 2015 NS + 0
./tb_fidivider.v:27 	$finish;
xcelium> ^C
xcelium> exit
