areset = 1, o_cnt = x, o_decade = xx, cnt_en = 0, o_en_cnt = x, time_val = 30, o_time_cnt = x, o_time_en = x, o_clk_h = x, o_clk_m = x, o_clk_s = x
areset = 0, o_cnt =  85, o_decade = 85, cnt_en = 0, o_en_cnt =  14, time_val = 30, o_time_cnt = 23, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 25
areset = 0, o_cnt =  86, o_decade = 86, cnt_en = 0, o_en_cnt =  14, time_val = 30, o_time_cnt = 24, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 26
areset = 0, o_cnt =  87, o_decade = 87, cnt_en = 0, o_en_cnt =  14, time_val = 30, o_time_cnt = 25, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 27
areset = 0, o_cnt =  88, o_decade = 88, cnt_en = 1, o_en_cnt =  14, time_val = 30, o_time_cnt = 26, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 28
areset = 0, o_cnt =  89, o_decade = 89, cnt_en = 0, o_en_cnt =  15, time_val = 30, o_time_cnt = 27, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 29
areset = 0, o_cnt =  90, o_decade = 90, cnt_en = 0, o_en_cnt =  15, time_val = 30, o_time_cnt = 28, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 30
areset = 0, o_cnt =  91, o_decade = 91, cnt_en = 0, o_en_cnt =  15, time_val = 30, o_time_cnt = 29, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 31
areset = 0, o_cnt =  92, o_decade = 92, cnt_en = 0, o_en_cnt =  15, time_val = 30, o_time_cnt = 30, o_time_en = 1, o_clk_h = 0, o_clk_m =  1, o_clk_s = 32
areset = 0, o_cnt =  93, o_decade = 93, cnt_en = 0, o_en_cnt =  15, time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 33
areset = 0, o_cnt =  94, o_decade = 94, cnt_en = 1, o_en_cnt =  15, time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clk_h = 0, o_clk_m =  1, o_clk_s = 34
